,Space heating (kW),Domestic hot water (kW),Plug loads (kW),Heat Demand [kW],DNI,diffuse_radiation,global_radiation,T_amb,Electricity Demand [W],wind_speed
2022-01-01 00:00:00,511.85,12.42,17.84,524.27,0,0.0,0.0,11.5,49358,2.3
2022-01-01 00:15:00,577.4875,11.1425,17.4,588.63,0,0.0,0.0,11.5,51043,2.3
2022-01-01 00:30:00,643.125,9.865,16.96,652.99,0,0.0,0.0,11.5,51228,2.3
2022-01-01 00:45:00,708.7625,8.587499999999999,16.52,717.35,0,0.0,0.0,11.5,52631,2.3
2022-01-01 01:00:00,774.4,7.31,16.08,781.7099999999999,0,0.0,0.0,11.7,45575,1.7
2022-01-01 01:15:00,756.3975,6.455,15.334999999999999,762.8525000000001,0,0.0,0.0,11.8,46346,1.7
2022-01-01 01:30:00,738.395,5.6,14.59,743.995,0,0.0,0.0,11.8,47166,1.7
2022-01-01 01:45:00,720.3924999999999,4.745,13.844999999999999,725.1374999999999,0,0.0,0.0,11.8,47939,1.7
2022-01-01 02:00:00,702.39,3.89,13.1,706.28,0,0.0,0.0,11.5,46765,1.4
2022-01-01 02:15:00,722.105,3.3575,13.1375,725.4625,0,0.0,0.0,11.5,47389,1.4
2022-01-01 02:30:00,741.8199999999999,2.825,13.175,744.645,0,0.0,0.0,11.5,48104,1.4
2022-01-01 02:45:00,761.535,2.2925000000000004,13.2125,763.8275,0,0.0,0.0,11.5,48758,1.4
2022-01-01 03:00:00,781.25,1.76,13.25,783.01,0,0.0,0.0,11.4,48710,1.7
2022-01-01 03:15:00,798.77,2.2925,12.82,801.0625,0,0.0,0.0,11.4,48895,1.7
2022-01-01 03:30:00,816.29,2.825,12.39,819.115,0,0.0,0.0,11.4,48921,1.7
2022-01-01 03:45:00,833.8100000000001,3.3575,11.959999999999999,837.1675,0,0.0,0.0,11.4,48910,1.7
2022-01-01 04:00:00,851.33,3.89,11.53,855.22,0,0.0,0.0,11.3,49066,1.7
2022-01-01 04:15:00,960.9575,3.9225,11.622499999999999,964.88,0,0.0,0.0,11.3,48949,1.7
2022-01-01 04:30:00,1070.585,3.955,11.715,1074.54,0,0.0,0.0,11.3,48823,1.7
2022-01-01 04:45:00,1180.2125,3.9875,11.807500000000001,1184.2,0,0.0,0.0,11.3,48670,1.7
2022-01-01 05:00:00,1289.84,4.02,11.9,1293.86,0,0.0,0.0,11.1,52507,2.0
2022-01-01 05:15:00,1373.3325,4.345,11.9925,1377.6775,0,0.0,0.0,11.1,52323,2.0
2022-01-01 05:30:00,1456.8249999999998,4.67,12.085,1461.495,0,0.0,0.0,11.1,52206,2.0
2022-01-01 05:45:00,1540.3174999999999,4.995,12.1775,1545.3124999999998,0,0.0,0.0,11.1,52049,2.0
2022-01-01 06:00:00,1623.81,5.32,12.27,1629.1299999999999,0,0.0,0.0,11.0,74663,1.6
2022-01-01 06:15:00,1587.355,6.715,12.5825,1594.07,0,0.0,0.0,11.0,65379,1.6
2022-01-01 06:30:00,1550.9,8.11,12.895,1559.01,0,0.0,0.0,11.0,64428,1.6
2022-01-01 06:45:00,1514.445,9.505,13.2075,1523.95,0,0.0,0.0,11.0,65089,1.6
2022-01-01 07:00:00,1477.99,10.9,13.52,1488.89,0,0.0,0.0,10.9,86423,2.4
2022-01-01 07:15:00,1442.67,15.342500000000001,14.7875,1458.0125,0,0.0,0.0,10.9,87824,2.4
