HEATLOAD
Time,Space heating (kW),Domestic hot water (kW),Heat Demand [kW],DNI,diffuse_radiation,global_radiation,T_amb,Electricity Demand [W],wind_speed
2022-01-01 00:00:00,38.53,12.42,50.95,0,0.0,0.0,11.5,49358,2.3
2022-01-01 00:15:00,42.9525,11.1425,54.095,0,0.0,0.0,11.5,51043,2.3
2022-01-01 00:30:00,47.375,9.865,57.24,0,0.0,0.0,11.5,51228,2.3
2022-01-01 00:45:00,51.7975,8.587499999999999,60.385,0,0.0,0.0,11.5,52631,2.3
2022-01-01 01:00:00,56.22,7.31,63.53,0,0.0,0.0,11.7,45575,1.7
2022-01-01 01:15:00,54.9325,6.455,61.387499999999996,0,0.0,0.0,11.8,46346,1.7
2022-01-01 01:30:00,53.644999999999996,5.6,59.245,0,0.0,0.0,11.8,47166,1.7
2022-01-01 01:45:00,52.3575,4.745,57.1025,0,0.0,0.0,11.8,47939,1.7
2022-01-01 02:00:00,51.07,3.89,54.96,0,0.0,0.0,11.5,46765,1.4
2022-01-01 02:15:00,52.4725,3.3575,55.83,0,0.0,0.0,11.5,47389,1.4
2022-01-01 02:30:00,53.875,2.825,56.7,0,0.0,0.0,11.5,48104,1.4
2022-01-01 02:45:00,55.2775,2.2925000000000004,57.57000000000001,0,0.0,0.0,11.5,48758,1.4
2022-01-01 03:00:00,56.68,1.76,58.44,0,0.0,0.0,11.4,48710,1.7
2022-01-01 03:15:00,57.9,2.2925,60.192499999999995,0,0.0,0.0,11.4,48895,1.7
2022-01-01 03:30:00,59.120000000000005,2.825,61.94500000000001,0,0.0,0.0,11.4,48921,1.7
2022-01-01 03:45:00,60.34,3.3575,63.697500000000005,0,0.0,0.0,11.4,48910,1.7
2022-01-01 04:00:00,61.56,3.89,65.45,0,0.0,0.0,11.3,49066,1.7
2022-01-01 04:15:00,69.415,3.9225,73.3375,0,0.0,0.0,11.3,48949,1.7
2022-01-01 04:30:00,77.27000000000001,3.955,81.22500000000001,0,0.0,0.0,11.3,48823,1.7
2022-01-01 04:45:00,85.125,3.9875,89.1125,0,0.0,0.0,11.3,48670,1.7
2022-01-01 05:00:00,92.98,4.02,97.0,0,0.0,0.0,11.1,52507,2.0
2022-01-01 05:15:00,99.2025,4.345,103.5475,0,0.0,0.0,11.1,52323,2.0
2022-01-01 05:30:00,105.42500000000001,4.67,110.09500000000001,0,0.0,0.0,11.1,52206,2.0
2022-01-01 05:45:00,111.64750000000001,4.995,116.64250000000001,0,0.0,0.0,11.1,52049,2.0
2022-01-01 06:00:00,117.87,5.32,123.19,0,0.0,0.0,11.0,74663,1.6
2022-01-01 06:15:00,115.24000000000001,6.715,121.95500000000001,0,0.0,0.0,11.0,65379,1.6
2022-01-01 06:30:00,112.61,8.11,120.72,0,0.0,0.0,11.0,64428,1.6
2022-01-01 06:45:00,109.97999999999999,9.505,119.48499999999999,0,0.0,0.0,11.0,65089,1.6
2022-01-01 07:00:00,107.35,10.9,118.25,0,0.0,0.0,10.9,86423,2.4
2022-01-01 07:15:00,104.82249999999999,15.342500000000001,120.16499999999999,0,0.0,0.0,10.9,87824,2.4
2022-01-01 07:30:00,102.29499999999999,19.785000000000004,122.07999999999998,0,0.0,0.0,10.9,90621,2.4
2022-01-01 07:45:00,99.7675,24.227500000000003,123.995,0,0.0,0.0,10.9,93054,2.4
2022-01-01 08:00:00,97.24,28.67,125.91,0,1.2,1.2,10.9,96405,2.0
2022-01-01 08:15:00,96.505,35.4925,131.9975,0,1.2,1.2,10.9,96949,2.0
2022-01-01 08:30:00,95.77,42.315,138.08499999999998,0,1.2,1.2,10.9,98828,2.0
2022-01-01 08:45:00,95.035,49.1375,144.1725,0,1.2,1.2,10.9,99002,2.0
2022-01-01 09:00:00,94.3,55.96,150.26,0,9.9,9.9,11.0,93478,3.8
2022-01-01 09:15:00,92.9975,57.0275,150.025,0,10.0,10.0,11.0,93542,3.8
2022-01-01 09:30:00,91.695,58.095,149.79,0,10.0,10.0,11.0,93054,3.8
2022-01-01 09:45:00,90.3925,59.162499999999994,149.555,0,10.0,10.0,11.0,92557,3.8
2022-01-01 10:00:00,89.09,60.23,149.32,0,19.5,19.5,11.0,88996,3.1
2022-01-01 10:15:00,87.63,59.955,147.58499999999998,0,19.5,19.5,11.0,89286,3.1
2022-01-01 10:30:00,86.17,59.68,145.85,0,19.5,19.5,11.0,88722,3.1
2022-01-01 10:45:00,84.71000000000001,59.405,144.115,0,19.5,19.5,11.0,88291,3.1
2022-01-01 11:00:00,83.25,59.13,142.38,0,27.2,27.2,11.1,69107,2.9
2022-01-01 11:15:00,82.4475,57.3725,139.82,0,27.3,27.3,11.1,62649,2.9
2022-01-01 11:30:00,81.64500000000001,55.615,137.26000000000002,0,27.3,27.3,11.1,62649,2.9
2022-01-01 11:45:00,80.8425,53.8575,134.7,0,27.3,27.3,11.1,62649,2.9
2022-01-01 12:00:00,80.04,52.1,132.14000000000001,0,32.2,32.2,11.1,69200,3.3
2022-01-01 12:15:00,79.44250000000001,49.255,128.69750000000002,0,32.2,32.2,11.1,69200,3.3
2022-01-01 12:30:00,78.845,46.41,125.255,0,32.2,32.2,11.1,69200,3.3
2022-01-01 12:45:00,78.2475,43.565,121.8125,0,32.2,32.2,11.1,69200,3.3
2022-01-01 13:00:00,77.65,40.72,118.37,0,28.2,28.2,11.1,68552,3.8
2022-01-01 13:15:00,79.2225,40.3475,119.57,0,28.2,28.2,11.1,68552,3.8
2022-01-01 13:30:00,80.795,39.974999999999994,120.77,0,28.2,28.2,11.1,68552,3.8
2022-01-01 13:45:00,82.3675,39.6025,121.97,0,28.2,28.2,11.1,68552,3.8
2022-01-01 14:00:00,83.94,39.23,123.16999999999999,0,20.3,20.3,11.1,61074,3.1
2022-01-01 14:15:00,84.38,37.885,122.26499999999999,0,20.3,20.3,11.1,61074,3.1
2022-01-01 14:30:00,84.82,36.54,121.35999999999999,0,20.3,20.3,11.1,73670,3.1
2022-01-01 14:45:00,85.26,35.195,120.45500000000001,0,20.3,20.3,11.1,78334,3.1
2022-01-01 15:00:00,85.7,33.85,119.55000000000001,0,10.2,10.2,11.0,73006,4.5
2022-01-01 15:15:00,84.8775,32.9975,117.875,0,10.1,10.1,11.0,73281,4.5
2022-01-01 15:30:00,84.055,32.145,116.20000000000002,0,10.1,10.1,11.0,73395,4.5
2022-01-01 15:45:00,83.2325,31.2925,114.525,0,10.1,10.1,11.0,73822,4.5
2022-01-01 16:00:00,82.41,30.44,112.85,0,1.2,1.2,10.9,74846,3.3
2022-01-01 16:15:00,82.2775,30.805,113.08250000000001,0,1.1,1.1,10.9,75472,3.3
2022-01-01 16:30:00,82.145,31.17,113.315,0,1.1,1.1,10.9,76151,3.3
2022-01-01 16:45:00,82.01249999999999,31.535,113.54749999999999,0,1.1,1.1,10.9,76740,3.3
2022-01-01 17:00:00,81.88,31.9,113.78,0,0.01,0.01,10.7,86785,3.8
2022-01-01 17:15:00,83.22749999999999,32.817499999999995,116.04499999999999,0,0.0,0.0,10.7,84746,3.8
2022-01-01 17:30:00,84.57499999999999,33.735,118.30999999999999,0,0.0,0.0,10.7,85411,3.8
2022-01-01 17:45:00,85.9225,34.6525,120.575,0,0.0,0.0,10.7,86555,3.8
2022-01-01 18:00:00,87.27,35.57,122.84,0,0.0,0.0,10.4,107635,3.1
2022-01-01 18:15:00,88.5875,36.265,124.8525,0,0.0,0.0,10.4,108291,3.1
2022-01-01 18:30:00,89.905,36.96,126.86500000000001,0,0.0,0.0,10.4,110873,3.1
2022-01-01 18:45:00,91.2225,37.655,128.8775,0,0.0,0.0,10.4,113247,3.1
2022-01-01 19:00:00,92.54,38.35,130.89000000000001,0,0.0,0.0,10.4,124895,3.1
2022-01-01 19:15:00,93.165,38.0325,131.1975,0,0.0,0.0,10.4,124573,3.1
2022-01-01 19:30:00,93.79,37.715,131.505,0,0.0,0.0,10.4,126791,3.1
2022-01-01 19:45:00,94.415,37.3975,131.8125,0,0.0,0.0,10.4,127339,3.1
2022-01-01 20:00:00,95.04,37.08,132.12,0,0.0,0.0,10.2,117267,3.1
2022-01-01 20:15:00,95.305,36.254999999999995,131.56,0,0.0,0.0,10.2,117253,3.1
2022-01-01 20:30:00,95.57,35.43,131.0,0,0.0,0.0,10.2,116831,3.1
2022-01-01 20:45:00,95.835,34.605000000000004,130.44,0,0.0,0.0,10.2,116382,3.1
2022-01-01 21:00:00,96.1,33.78,129.88,0,0.0,0.0,10.1,101868,2.3
2022-01-01 21:15:00,85.5525,31.817500000000003,117.37,0,0.0,0.0,10.1,101885,2.3
2022-01-01 21:30:00,75.005,29.855,104.86,0,0.0,0.0,10.1,101410,2.3
2022-01-01 21:45:00,64.4575,27.8925,92.35,0,0.0,0.0,10.1,98041,2.3
2022-01-01 22:00:00,53.91,25.93,79.84,0,0.0,0.0,10.0,78692,1.7
2022-01-01 22:15:00,50.662499999999994,23.5875,74.25,0,0.0,0.0,10.0,78746,1.7
2022-01-01 22:30:00,47.415,21.244999999999997,68.66,0,0.0,0.0,10.0,78856,1.7
2022-01-01 22:45:00,44.167500000000004,18.9025,63.07000000000001,0,0.0,0.0,10.0,79006,1.7
2022-01-01 23:00:00,40.92,16.56,57.480000000000004,0,0.0,0.0,9.9,63075,1.5
2022-01-01 23:15:00,38.795,15.274999999999999,54.07,0,0.0,0.0,9.9,63139,1.5
2022-01-01 23:30:00,36.67,13.989999999999998,50.66,0,0.0,0.0,9.9,63343,1.5
2022-01-01 23:45:00,34.545,12.705,47.25,0,0.0,0.0,9.9,63730,1.5
2022-01-02 00:00:00,32.42,11.42,43.84,0,0.0,0.0,9.5,53919,1.7
2022-01-02 00:15:00,30.21,10.0975,40.307500000000005,0,0.0,0.0,9.5,54179,1.7
2022-01-02 00:30:00,28.0,8.775,36.775,0,0.0,0.0,9.5,54708,1.7
2022-01-02 00:45:00,25.79,7.4525,33.2425,0,0.0,0.0,9.5,55186,1.7
2022-01-02 01:00:00,23.58,6.13,29.709999999999997,0,0.0,0.0,8.9,47992,3.1
2022-01-02 01:15:00,24.987499999999997,5.035,30.022499999999997,0,0.0,0.0,8.9,48160,3.1
2022-01-02 01:30:00,26.395,3.94,30.335,0,0.0,0.0,8.9,48629,3.1
2022-01-02 01:45:00,27.802500000000002,2.8449999999999998,30.6475,0,0.0,0.0,8.9,48997,3.1
2022-01-02 02:00:00,29.21,1.75,30.96,0,0.0,0.0,8.7,43616,4.2
2022-01-02 02:15:00,31.7975,1.785,33.582499999999996,0,0.0,0.0,8.7,43769,4.2
2022-01-02 02:30:00,34.385000000000005,1.8199999999999998,36.205000000000005,0,0.0,0.0,8.7,44144,4.2
2022-01-02 02:45:00,36.972500000000004,1.855,38.8275,0,0.0,0.0,8.7,44494,4.2
2022-01-02 03:00:00,39.56,1.89,41.45,0,0.0,0.0,8.5,43584,3.8
2022-01-02 03:15:00,42.5,2.995,45.495,0,0.0,0.0,8.4,43936,3.8
2022-01-02 03:30:00,45.44,4.1,49.54,0,0.0,0.0,8.4,44056,3.8
2022-01-02 03:45:00,48.38,5.205,53.585,0,0.0,0.0,8.4,44290,3.8
2022-01-02 04:00:00,51.32,6.31,57.63,0,0.0,0.0,8.2,44200,4.5
2022-01-02 04:15:00,55.2775,8.872499999999999,64.15,0,0.0,0.0,8.2,44299,4.5
2022-01-02 04:30:00,59.235,11.434999999999999,70.67,0,0.0,0.0,8.2,44532,4.5
2022-01-02 04:45:00,63.1925,13.997499999999999,77.19,0,0.0,0.0,8.2,44778,4.5
2022-01-02 05:00:00,67.15,16.56,83.71000000000001,0,0.0,0.0,8.0,46069,3.8
2022-01-02 05:15:00,75.3175,25.224999999999998,100.54249999999999,0,0.0,0.0,8.0,46245,3.8
2022-01-02 05:30:00,83.485,33.89,117.375,0,0.0,0.0,8.0,46506,3.8
2022-01-02 05:45:00,91.6525,42.55499999999999,134.20749999999998,0,0.0,0.0,8.0,46753,3.8
2022-01-02 06:00:00,99.82,51.22,151.04,0,0.0,0.0,7.9,54319,4.2
2022-01-02 06:15:00,97.945,50.9075,148.8525,0,0.0,0.0,7.9,54536,4.2
2022-01-02 06:30:00,96.07,50.595,146.665,0,0.0,0.0,7.9,54745,4.2
2022-01-02 06:45:00,94.195,50.2825,144.4775,0,0.0,0.0,7.9,54965,4.2
2022-01-02 07:00:00,92.32,49.97,142.29,0,0.0,0.0,7.7,70823,2.5
2022-01-02 07:15:00,89.8325,48.442499999999995,138.27499999999998,0,0.0,0.0,7.7,71054,2.5
2022-01-02 07:30:00,87.345,46.915,134.26,0,0.0,0.0,7.7,71066,2.5
2022-01-02 07:45:00,84.8575,45.3875,130.245,0,0.0,0.0,7.7,71184,2.5
2022-01-02 08:00:00,82.37,43.86,126.23,0,1.4,1.4,7.7,91327,2.9
2022-01-02 08:15:00,80.64750000000001,41.9075,122.555,0,1.4,1.4,7.7,91330,2.9
2022-01-02 08:30:00,78.92500000000001,39.955,118.88000000000001,0,1.4,1.4,7.7,91330,2.9
2022-01-02 08:45:00,77.2025,38.0025,115.205,0,1.4,1.4,7.7,91316,2.9
2022-01-02 09:00:00,75.48,36.05,111.53,0,34.1,34.1,8.2,102972,2.7
