HEATLOAD
Time,Space heating (kW),Domestic hot water (kW),Plug loads (kW),Heat Demand [kW],DNI,diffuse_radiation,global_radiation,T_amb,Electricity Demand [W],wind_speed
2022-01-01 00:00:00,52.73,12.42,17.84,65.14999999999999,0,0.0,0.0,11.5,49358,2.3
2022-01-01 00:15:00,58.7825,11.1425,17.4,69.925,0,0.0,0.0,11.5,51043,2.3
2022-01-01 00:30:00,64.835,9.865,16.96,74.69999999999999,0,0.0,0.0,11.5,51228,2.3
2022-01-01 00:45:00,70.88749999999999,8.587499999999999,16.52,79.475,0,0.0,0.0,11.5,52631,2.3
2022-01-01 01:00:00,76.94,7.31,16.08,84.25,0,0.0,0.0,11.7,45575,1.7
2022-01-01 01:15:00,75.1775,6.455,15.334999999999999,81.6325,0,0.0,0.0,11.8,46346,1.7
2022-01-01 01:30:00,73.41499999999999,5.6,14.59,79.01499999999999,0,0.0,0.0,11.8,47166,1.7
2022-01-01 01:45:00,71.6525,4.745,13.844999999999999,76.39750000000001,0,0.0,0.0,11.8,47939,1.7
2022-01-01 02:00:00,69.89,3.89,13.1,73.78,0,0.0,0.0,11.5,46765,1.4
2022-01-01 02:15:00,71.8075,3.3575,13.1375,75.165,0,0.0,0.0,11.5,47389,1.4
2022-01-01 02:30:00,73.725,2.825,13.175,76.55,0,0.0,0.0,11.5,48104,1.4
2022-01-01 02:45:00,75.6425,2.2925000000000004,13.2125,77.935,0,0.0,0.0,11.5,48758,1.4
2022-01-01 03:00:00,77.56,1.76,13.25,79.32000000000001,0,0.0,0.0,11.4,48710,1.7
2022-01-01 03:15:00,79.23,2.2925,12.82,81.52250000000001,0,0.0,0.0,11.4,48895,1.7
2022-01-01 03:30:00,80.9,2.825,12.39,83.72500000000001,0,0.0,0.0,11.4,48921,1.7
2022-01-01 03:45:00,82.57,3.3575,11.959999999999999,85.9275,0,0.0,0.0,11.4,48910,1.7
2022-01-01 04:00:00,84.24,3.89,11.53,88.13,0,0.0,0.0,11.3,49066,1.7
2022-01-01 04:15:00,94.99,3.9225,11.622499999999999,98.9125,0,0.0,0.0,11.3,48949,1.7
2022-01-01 04:30:00,105.74,3.955,11.715,109.695,0,0.0,0.0,11.3,48823,1.7
2022-01-01 04:45:00,116.49,3.9875,11.807500000000001,120.47749999999999,0,0.0,0.0,11.3,48670,1.7
2022-01-01 05:00:00,127.24,4.02,11.9,131.26,0,0.0,0.0,11.1,52507,2.0
2022-01-01 05:15:00,135.7525,4.345,11.9925,140.0975,0,0.0,0.0,11.1,52323,2.0
