HEATLOAD
Time,Space heating (kW),Domestic hot water (kW),Heat Demand [kW],DNI,diffuse_radiation,global_radiation,T_amb,Electricity Demand [W],wind_speed,Timestamp
2022-01-01 00:00:00,41.43,9.76,51.19,0,0.0,0.0,11.5,49358,2.3,2022-01-01 00:00:00
2022-01-01 00:15:00,46.185,8.754999999999999,54.94,0,0.0,0.0,11.5,51043,2.3,2022-01-01 00:15:00
2022-01-01 00:30:00,50.94,7.75,58.69,0,0.0,0.0,11.5,51228,2.3,2022-01-01 00:30:00
2022-01-01 00:45:00,55.695,6.745,62.44,0,0.0,0.0,11.5,52631,2.3,2022-01-01 00:45:00
2022-01-01 01:00:00,60.45,5.74,66.19,0,0.0,0.0,11.7,45575,1.7,2022-01-01 01:00:00
2022-01-01 01:15:00,59.065,5.07,64.13499999999999,0,0.0,0.0,11.8,46346,1.7,2022-01-01 01:15:00
2022-01-01 01:30:00,57.68,4.4,62.08,0,0.0,0.0,11.8,47166,1.7,2022-01-01 01:30:00
2022-01-01 01:45:00,56.295,3.73,60.025,0,0.0,0.0,11.8,47939,1.7,2022-01-01 01:45:00
2022-01-01 02:00:00,54.91,3.06,57.97,0,0.0,0.0,11.5,46765,1.4,2022-01-01 02:00:00
2022-01-01 02:15:00,56.4175,2.64,59.0575,0,0.0,0.0,11.5,47389,1.4,2022-01-01 02:15:00
2022-01-01 02:30:00,57.925,2.22,60.145,0,0.0,0.0,11.5,48104,1.4,2022-01-01 02:30:00
2022-01-01 02:45:00,59.4325,1.7999999999999998,61.2325,0,0.0,0.0,11.5,48758,1.4,2022-01-01 02:45:00
2022-01-01 03:00:00,60.94,1.38,62.32,0,0.0,0.0,11.4,48710,1.7,2022-01-01 03:00:00
2022-01-01 03:15:00,62.2525,1.7999999999999998,64.0525,0,0.0,0.0,11.4,48895,1.7,2022-01-01 03:15:00
2022-01-01 03:30:00,63.565,2.22,65.785,0,0.0,0.0,11.4,48921,1.7,2022-01-01 03:30:00
2022-01-01 03:45:00,64.8775,2.64,67.5175,0,0.0,0.0,11.4,48910,1.7,2022-01-01 03:45:00
2022-01-01 04:00:00,66.19,3.06,69.25,0,0.0,0.0,11.3,49066,1.7,2022-01-01 04:00:00
2022-01-01 04:15:00,74.6375,3.0825,77.72,0,0.0,0.0,11.3,48949,1.7,2022-01-01 04:15:00
2022-01-01 04:30:00,83.08500000000001,3.105,86.19000000000001,0,0.0,0.0,11.3,48823,1.7,2022-01-01 04:30:00
2022-01-01 04:45:00,91.5325,3.1275,94.66,0,0.0,0.0,11.3,48670,1.7,2022-01-01 04:45:00
2022-01-01 05:00:00,99.98,3.15,103.13,0,0.0,0.0,11.1,52507,2.0,2022-01-01 05:00:00
2022-01-01 05:15:00,106.6675,3.4075,110.075,0,0.0,0.0,11.1,52323,2.0,2022-01-01 05:15:00
2022-01-01 05:30:00,113.355,3.665,117.02,0,0.0,0.0,11.1,52206,2.0,2022-01-01 05:30:00
2022-01-01 05:45:00,120.0425,3.9225,123.965,0,0.0,0.0,11.1,52049,2.0,2022-01-01 05:45:00
2022-01-01 06:00:00,126.73,4.18,130.91,0,0.0,0.0,11.0,74663,1.6,2022-01-01 06:00:00
2022-01-01 06:15:00,123.9025,5.275,129.1775,0,0.0,0.0,11.0,65379,1.6,2022-01-01 06:15:00
2022-01-01 06:30:00,121.075,6.37,127.445,0,0.0,0.0,11.0,64428,1.6,2022-01-01 06:30:00
2022-01-01 06:45:00,118.2475,7.465,125.7125,0,0.0,0.0,11.0,65089,1.6,2022-01-01 06:45:00
2022-01-01 07:00:00,115.42,8.56,123.98,0,0.0,0.0,10.9,86423,2.4,2022-01-01 07:00:00
2022-01-01 07:15:00,112.7025,12.05,124.7525,0,0.0,0.0,10.9,87824,2.4,2022-01-01 07:15:00
2022-01-01 07:30:00,109.985,15.54,125.525,0,0.0,0.0,10.9,90621,2.4,2022-01-01 07:30:00
2022-01-01 07:45:00,107.2675,19.03,126.2975,0,0.0,0.0,10.9,93054,2.4,2022-01-01 07:45:00
2022-01-01 08:00:00,104.55,22.52,127.07,0,1.2,1.2,10.9,96405,2.0,2022-01-01 08:00:00
2022-01-01 08:15:00,103.7625,27.8825,131.645,0,1.2,1.2,10.9,96949,2.0,2022-01-01 08:15:00
2022-01-01 08:30:00,102.975,33.245,136.22,0,1.2,1.2,10.9,98828,2.0,2022-01-01 08:30:00
2022-01-01 08:45:00,102.1875,38.6075,140.79500000000002,0,1.2,1.2,10.9,99002,2.0,2022-01-01 08:45:00
2022-01-01 09:00:00,101.4,43.97,145.37,0,9.9,9.9,11.0,93478,3.8,2022-01-01 09:00:00
2022-01-01 09:15:00,99.9975,44.8075,144.805,0,10.0,10.0,11.0,93542,3.8,2022-01-01 09:15:00
2022-01-01 09:30:00,98.595,45.645,144.24,0,10.0,10.0,11.0,93054,3.8,2022-01-01 09:30:00
2022-01-01 09:45:00,97.1925,46.4825,143.675,0,10.0,10.0,11.0,92557,3.8,2022-01-01 09:45:00
2022-01-01 10:00:00,95.79,47.32,143.11,0,19.5,19.5,11.0,88996,3.1,2022-01-01 10:00:00
2022-01-01 10:15:00,94.22,47.105,141.325,0,19.5,19.5,11.0,89286,3.1,2022-01-01 10:15:00
2022-01-01 10:30:00,92.65,46.89,139.54000000000002,0,19.5,19.5,11.0,88722,3.1,2022-01-01 10:30:00
2022-01-01 10:45:00,91.08,46.675,137.755,0,19.5,19.5,11.0,88291,3.1,2022-01-01 10:45:00
2022-01-01 11:00:00,89.51,46.46,135.97,0,27.2,27.2,11.1,69107,2.9,2022-01-01 11:00:00
2022-01-01 11:15:00,88.64750000000001,45.08,133.72750000000002,0,27.3,27.3,11.1,62649,2.9,2022-01-01 11:15:00
2022-01-01 11:30:00,87.785,43.7,131.485,0,27.3,27.3,11.1,62649,2.9,2022-01-01 11:30:00
2022-01-01 11:45:00,86.9225,42.32,129.2425,0,27.3,27.3,11.1,62649,2.9,2022-01-01 11:45:00
2022-01-01 12:00:00,86.06,40.94,127.0,0,32.2,32.2,11.1,69200,3.3,2022-01-01 12:00:00
2022-01-01 12:15:00,85.4175,38.705,124.1225,0,32.2,32.2,11.1,69200,3.3,2022-01-01 12:15:00
2022-01-01 12:30:00,84.775,36.47,121.245,0,32.2,32.2,11.1,69200,3.3,2022-01-01 12:30:00
2022-01-01 12:45:00,84.1325,34.235,118.3675,0,32.2,32.2,11.1,69200,3.3,2022-01-01 12:45:00
2022-01-01 13:00:00,83.49,32.0,115.49,0,28.2,28.2,11.1,68552,3.8,2022-01-01 13:00:00
2022-01-01 13:15:00,85.17999999999999,31.705,116.885,0,28.2,28.2,11.1,68552,3.8,2022-01-01 13:15:00
2022-01-01 13:30:00,86.87,31.41,118.28,0,28.2,28.2,11.1,68552,3.8,2022-01-01 13:30:00
