HEATLOAD
Time,Space heating (kW),Domestic hot water (kW),Electricy demand[kW],offset_Electricy demand[kW],Heat Demand [kW],Timestamp,DNI,diffuse_radiation,global_radiation,T_amb,Electricity Demand [W],wind_speed
2022-01-01 00:00:00,41.43,9.76,14.02,13.675,51.19,2022-01-01 00:00:00,0,0.0,0.0,11.5,49358,2.3
2022-01-01 00:15:00,46.185,8.754999999999999,13.675,13.33,54.94,2022-01-01 00:15:00,0,0.0,0.0,11.5,51043,2.3
2022-01-01 00:30:00,50.94,7.75,13.33,12.985,58.69,2022-01-01 00:30:00,0,0.0,0.0,11.5,51228,2.3
2022-01-01 00:45:00,55.695,6.745,12.985,12.64,62.44,2022-01-01 00:45:00,0,0.0,0.0,11.5,52631,2.3
2022-01-01 01:00:00,60.45,5.74,12.64,12.055,66.19,2022-01-01 01:00:00,0,0.0,0.0,11.7,45575,1.7
2022-01-01 01:15:00,59.065,5.07,12.055,11.47,64.13499999999999,2022-01-01 01:15:00,0,0.0,0.0,11.8,46346,1.7
2022-01-01 01:30:00,57.68,4.4,11.47,10.885000000000002,62.08,2022-01-01 01:30:00,0,0.0,0.0,11.8,47166,1.7
2022-01-01 01:45:00,56.295,3.73,10.885000000000002,10.3,60.025,2022-01-01 01:45:00,0,0.0,0.0,11.8,47939,1.7
2022-01-01 02:00:00,54.91,3.06,10.3,10.3275,57.97,2022-01-01 02:00:00,0,0.0,0.0,11.5,46765,1.4
2022-01-01 02:15:00,56.4175,2.64,10.3275,10.355,59.0575,2022-01-01 02:15:00,0,0.0,0.0,11.5,47389,1.4
2022-01-01 02:30:00,57.925,2.2199999999999998,10.355,10.3825,60.144999999999996,2022-01-01 02:30:00,0,0.0,0.0,11.5,48104,1.4
2022-01-01 02:45:00,59.4325,1.7999999999999998,10.3825,10.41,61.232499999999995,2022-01-01 02:45:00,0,0.0,0.0,11.5,48758,1.4
2022-01-01 03:00:00,60.94,1.38,10.41,10.0725,62.32,2022-01-01 03:00:00,0,0.0,0.0,11.4,48710,1.7
2022-01-01 03:15:00,62.2525,1.7999999999999998,10.0725,9.735,64.0525,2022-01-01 03:15:00,0,0.0,0.0,11.4,48895,1.7
2022-01-01 03:30:00,63.565,2.2199999999999998,9.735,9.3975,65.785,2022-01-01 03:30:00,0,0.0,0.0,11.4,48921,1.7
2022-01-01 03:45:00,64.8775,2.64,9.3975,9.06,67.5175,2022-01-01 03:45:00,0,0.0,0.0,11.4,48910,1.7
2022-01-01 04:00:00,66.19,3.06,9.06,9.1325,69.25,2022-01-01 04:00:00,0,0.0,0.0,11.3,49066,1.7
2022-01-01 04:15:00,74.6375,3.0825,9.1325,9.205,77.72,2022-01-01 04:15:00,0,0.0,0.0,11.3,48949,1.7
2022-01-01 04:30:00,83.08500000000001,3.105,9.205,9.2775,86.19000000000001,2022-01-01 04:30:00,0,0.0,0.0,11.3,48823,1.7
2022-01-01 04:45:00,91.5325,3.1275,9.2775,9.35,94.66,2022-01-01 04:45:00,0,0.0,0.0,11.3,48670,1.7
2022-01-01 05:00:00,99.98,3.15,9.35,9.4225,103.13000000000001,2022-01-01 05:00:00,0,0.0,0.0,11.1,52507,2.0
2022-01-01 05:15:00,106.6675,3.4074999999999998,9.4225,9.495000000000001,110.075,2022-01-01 05:15:00,0,0.0,0.0,11.1,52323,2.0
2022-01-01 05:30:00,113.355,3.665,9.495000000000001,9.5675,117.02000000000001,2022-01-01 05:30:00,0,0.0,0.0,11.1,52206,2.0
2022-01-01 05:45:00,120.0425,3.9225,9.5675,9.64,123.965,2022-01-01 05:45:00,0,0.0,0.0,11.1,52049,2.0
2022-01-01 06:00:00,126.73,4.18,9.64,9.887500000000001,130.91,2022-01-01 06:00:00,0,0.0,0.0,11.0,74663,1.6
