Datum;Wetterdaten: Normale Direktstrahlung  [W/m²] (Bn);Wetterdaten: Diffusstrahlung, Jahressumme [W/m²] (Dh);Wetterdaten: Globalstrahlung, Jahressumme [W/m²] (Gh);Wetterdaten: Luftfeuchtigkeit [%] (Hrel);Wetterdaten: Wärmestrahlung [W/m²] (Lh);Wetterdaten: Aussentemperatur 24-h-Mittel [°C] (Tamb24);Wetterdaten: Mittlere Aussentemperatur [°C] (Tamb);Gebäude Space heating: demand 443 Mhw: Heizwärmebedarf [W] (Qdem);Gebäude Space heating: demand 443 Mhw: Soll-Raumtemperatur [°C];Elektrische Verbraucher Elec. Demand: 425 MWh: Elektrischer Verbrauch [W] (Ecs);Warmwasserbedarf 343 MWh: Domestic hot water: Energiebedarf [W] (Qdem);Wetterdaten: Windgeschwindigkeit [m/s] (Vwnd)
01.01. 00:00:00;0;0;0;87.4;346;3.8;11.5;46939;20;49358;0;2.3
01.01. 00:15:00;0;0;0;87.4;346;3.8;11.5;46939;20;51043;0;2.3
01.01. 00:30:00;0;0;0;87.4;346;3.8;11.5;46939;20;51228;0;2.3
01.01. 00:45:00;0;0;0;87.4;346;3.8;11.5;46939;20;52631;0;2.3
01.01. 01:00:00;0;0;0;83.2;345;4.1;11.7;45559;20;45575;0;1.7
01.01. 01:15:00;0;0;0;83.1;345;4.1;11.8;45559;20;46346;0;1.7
01.01. 01:30:00;0;0;0;83.1;345;4.1;11.8;45559;20;47166;0;1.7
01.01. 01:45:00;0;0;0;83.1;345;4.1;11.8;45559;20;47939;0;1.7
01.01. 02:00:00;0;0;0;82.9;343;4.5;11.5;46995;20;46765;0;1.4
01.01. 02:15:00;0;0;0;82.9;343;4.5;11.5;46995;20;47389;0;1.4
01.01. 02:30:00;0;0;0;82.9;343;4.5;11.5;46995;20;48104;0;1.4
01.01. 02:45:00;0;0;0;82.9;343;4.5;11.5;46995;20;48758;0;1.4
01.01. 03:00:00;0;0;0;77.6;338;4.8;11.4;47547;20;48710;239303;1.7
01.01. 03:15:00;0;0;0;77.6;338;4.8;11.4;47547;20;48895;32971;1.7
01.01. 03:30:00;0;0;0;77.6;338;4.8;11.4;47547;20;48921;0;1.7
01.01. 03:45:00;0;0;0;77.6;338;4.8;11.4;47547;20;48910;0;1.7
01.01. 04:00:00;0;0;0;76.9;337;5.1;11.3;48320;20;49066;239314;1.7
01.01. 04:15:00;0;0;0;76.9;337;5.1;11.3;48320;20;48949;32972;1.7
01.01. 04:30:00;0;0;0;76.9;337;5.1;11.3;48320;20;48823;0;1.7
01.01. 04:45:00;0;0;0;76.9;337;5.1;11.3;48320;20;48670;0;1.7
01.01. 05:00:00;0;0;0;78.7;338;5.4;11.1;49093;20;52507;239326;2
01.01. 05:15:00;0;0;0;78.7;338;5.4;11.1;49093;20;52323;32974;2
01.01. 05:30:00;0;0;0;78.7;338;5.4;11.1;49093;20;52206;0;2
01.01. 05:45:00;0;0;0;78.7;338;5.4;11.1;49093;20;52049;0;2
01.01. 06:00:00;0;0;0;77.7;336;5.7;11;49645;20;74663;239337;1.6
01.01. 06:15:00;0;0;0;77.7;336;5.7;11;49645;20;65379;32975;1.6
01.01. 06:30:00;0;0;0;77.7;336;5.7;11;49645;20;64428;0;1.6
01.01. 06:45:00;0;0;0;77.7;336;5.7;11;49645;20;65089;0;1.6
01.01. 07:00:00;0;0;0;76.6;335;6.1;10.9;50197;20;86423;239349;2.4
01.01. 07:15:00;0;0;0;76.6;335;6.1;10.9;50197;20;87824;32977;2.4
01.01. 07:30:00;0;0;0;76.6;335;6.1;10.9;50197;20;90621;0;2.4
01.01. 07:45:00;0;0;0;76.6;335;6.1;10.9;50197;20;93054;0;2.4
01.01. 08:00:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;96405;23936;2
01.01. 08:15:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;96949;32979;2
01.01. 08:30:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;98828;0;2
01.01. 08:45:00;0;1.2;1.2;78.3;336;6.4;10.9;50253;20;99002;0;2
01.01. 09:00:00;0;9.9;9.9;78;336;6.7;11;49921;20;93478;239372;3.8
01.01. 09:15:00;0;10;10;78;336;6.7;11;49921;20;93542;3298;3.8
01.01. 09:30:00;0;10;10;78;336;6.7;11;49921;20;93054;0;3.8
01.01. 09:45:00;0;10;10;78;336;6.7;11;49921;20;92557;0;3.8
01.01. 10:00:00;0;19.5;19.5;73.1;332;7;11;49535;20;88996;239383;3.1
01.01. 10:15:00;0;19.5;19.5;73.1;332;7;11;49535;20;89286;32982;3.1
01.01. 10:30:00;0;19.5;19.5;73.1;332;7;11;49535;20;88722;0;3.1
01.01. 10:45:00;0;19.5;19.5;73.1;332;7;11;49535;20;88291;0;3.1
01.01. 11:00:00;0;27.2;27.2;82.9;340;7.3;11.1;49259;20;69107;239394;2.9
01.01. 11:15:00;0;27.3;27.3;82.9;340;7.3;11.1;49259;20;62649;32983;2.9
01.01. 11:30:00;0;27.3;27.3;82.9;340;7.3;11.1;49259;20;62649;0;2.9
01.01. 11:45:00;0;27.3;27.3;82.9;340;7.3;11.1;49259;20;62649;0;2.9
01.01. 12:00:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;239406;3.3
01.01. 12:15:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;32985;3.3
01.01. 12:30:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;0;3.3
01.01. 12:45:00;0;32.2;32.2;73.5;332;7.6;11.1;48983;20;69200;0;3.3
01.01. 13:00:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;239417;3.8
01.01. 13:15:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;32986;3.8
01.01. 13:30:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;0;3.8
01.01. 13:45:00;0;28.2;28.2;72.5;332;7.8;11.1;48983;20;68552;0;3.8
01.01. 14:00:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;61074;239429;3.1
01.01. 14:15:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;61074;32988;3.1
01.01. 14:30:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;73670;0;3.1
01.01. 14:45:00;0;20.3;20.3;73.6;333;8.1;11.1;49093;20;78334;0;3.1
01.01. 15:00:00;0;10.2;10.2;82.9;340;8.3;11;49535;20;73006;23944;4.5
01.01. 15:15:00;0;10.1;10.1;82.9;340;8.3;11;49535;20;73281;32989;4.5
01.01. 15:30:00;0;10.1;10.1;82.9;340;8.3;11;49535;20;73395;0;4.5
01.01. 15:45:00;0;10.1;10.1;82.9;340;8.3;11;49535;20;73822;0;4.5
01.01. 16:00:00;0;1.2;1.2;82.9;339;8.6;10.9;50197;20;74846;239451;3.3
01.01. 16:15:00;0;1.1;1.1;82.9;339;8.6;10.9;50197;20;75472;32991;3.3
01.01. 16:30:00;0;1.1;1.1;82.9;339;8.6;10.9;50197;20;76151;0;3.3
01.01. 16:45:00;0;1.1;1.1;82.9;339;8.6;10.9;50197;20;76740;0;3.3
01.01. 17:00:00;0;0.01;0.01;83.6;338;8.9;10.7;51468;20;86785;239463;3.8
01.01. 17:15:00;0;0;0;83.6;338;8.9;10.7;51468;20;84746;32993;3.8
01.01. 17:30:00;0;0;0;83.6;338;8.9;10.7;51468;20;85411;0;3.8
01.01. 17:45:00;0;0;0;83.6;338;8.9;10.7;51468;20;86555;0;3.8
01.01. 18:00:00;0;0;0;87.1;338;9.1;10.4;53014;20;107635;239474;3.1
01.01. 18:15:00;0;0;0;87.1;338;9.1;10.4;53014;20;108291;32994;3.1
01.01. 18:30:00;0;0;0;87.1;338;9.1;10.4;53014;20;110873;0;3.1
01.01. 18:45:00;0;0;0;87.1;338;9.1;10.4;53014;20;113247;0;3.1
01.01. 19:00:00;0;0;0;83.6;336;9.4;10.4;52903;20;124895;239485;3.1
01.01. 19:15:00;0;0;0;83.6;336;9.4;10.4;52903;20;124573;32996;3.1
01.01. 19:30:00;0;0;0;83.6;336;9.4;10.4;52903;20;126791;0;3.1
01.01. 19:45:00;0;0;0;83.6;336;9.4;10.4;52903;20;127339;0;3.1
01.01. 20:00:00;0;0;0;83.8;334;9.7;10.2;54284;20;117267;239497;3.1
01.01. 20:15:00;0;0;0;83.8;334;9.7;10.2;54284;20;117253;32997;3.1
01.01. 20:30:00;0;0;0;83.8;334;9.7;10.2;54284;20;116831;0;3.1
01.01. 20:45:00;0;0;0;83.8;334;9.7;10.2;54284;20;116382;0;3.1
01.01. 21:00:00;0;0;0;83;332;10;10.1;54726;20;101868;239508;2.3
01.01. 21:15:00;0;0;0;83;332;10;10.1;54726;20;101885;32999;2.3
01.01. 21:30:00;0;0;0;83;332;10;10.1;54726;20;101410;0;2.3
01.01. 21:45:00;0;0;0;83;332;10;10.1;54726;20;98041;0;2.3
01.01. 22:00:00;0;0;0;83;331;10.3;10;55333;20;78692;239519;1.7
01.01. 22:15:00;0;0;0;83;331;10.3;10;55333;20;78746;33;1.7
01.01. 22:30:00;0;0;0;83;331;10.3;10;55333;20;78856;0;1.7
01.01. 22:45:00;0;0;0;83;331;10.3;10;55333;20;79006;0;1.7
01.01. 23:00:00;0;0;0;86.6;333;10.6;9.9;55941;20;63075;0;1.5
