Time,AirTemperature,WindSpeed,GlobalRadiation,DirectNormalRad,DiffRadiation
01.01. 00:00,2.1,6.2,0,0,253
01.01. 01:00,-4,2,0,0,246
01.01. 02:00,-3.6,1,0,0,244
01.01. 03:00,-4.1,0.9,0,0,253
01.01. 04:00,-4.8,0.9,0,0,233
01.01. 05:00,-5.4,0.7,0,0,254
01.01. 06:00,-1,0,0,0,266
01.01. 07:00,-1,0,0,0,283
01.01. 08:00,-1,2.1,27,73,285
01.01. 09:00,-1,1.5,63,109,286
01.01. 10:00,0,2.6,84,69,289
01.01. 11:00,0,2.6,107,94,295
01.01. 12:00,0,2.6,141,206,294
01.01. 13:00,0,2.6,123,220,283
01.01. 14:00,0,3.1,63,129,299
01.01. 15:00,0,2.1,23,54,292
01.01. 16:00,0,2.6,3,0,300
01.01. 17:00,0,2.6,0,0,289
01.01. 18:00,0,3.1,0,0,298
01.01. 19:00,0,3.1,0,0,277
01.01. 20:00,0,3.6,0,0,289
01.01. 21:00,1,3.1,0,0,291
01.01. 22:00,0,3.6,0,0,307
01.01. 23:00,1.8,4.2,0,0,307
02.01. 00:00,3.7,4.8,0,0,309
02.01. 01:00,7.2,5.6,0,0,309
02.01. 02:00,4.8,4.1,0,0,308
02.01. 03:00,2.4,2.5,0,0,309
02.01. 04:00,0,1,0,0,302
02.01. 05:00,0,1,0,0,304
02.01. 06:00,0,1.5,0,0,276
02.01. 07:00,-1,1,0,0,283
02.01. 08:00,-1,0.5,36,93,278
02.01. 09:00,0,0,92,191,273
02.01. 10:00,0,0.5,148,208,266
02.01. 11:00,1,1,169,143,280
02.01. 12:00,3,0,145,52,280
02.01. 13:00,2,0,108,48,288
02.01. 14:00,2,0,68,43,294
02.01. 15:00,2,0.5,28,14,291
02.01. 16:00,1,1,4,0,296
02.01. 17:00,0,1,0,0,282
02.01. 18:00,-1,1.5,0,0,277
02.01. 19:00,-1,1.5,0,0,288
02.01. 20:00,-2,2.6,0,0,224
02.01. 21:00,-1,2.1,0,0,228
02.01. 22:00,-1,2.6,0,0,227
02.01. 23:00,1.2,3.3,0,0,233
03.01. 00:00,3.3,4,0,0,252
03.01. 01:00,5.4,2.4,0,0,285
