,ghi,dni,dhi,temp_air,wind_speed,Power[w]
2022-01-01 00:00:00,0.0,0.0,253.0,2.1,6.2,-20.16
2022-01-01 00:15:00,0.0,0.0,251.25,0.5750000000000002,5.15,-20.16
2022-01-01 00:30:00,0.0,0.0,249.5,-0.9499999999999997,4.1,-20.16
2022-01-01 00:45:00,0.0,0.0,247.75,-2.474999999999999,3.05,-20.16
2022-01-01 01:00:00,0.0,0.0,246.0,-4.0,2.0,-20.16
2022-01-01 01:15:00,0.0,0.0,245.5,-3.9,1.75,-20.16
2022-01-01 01:30:00,0.0,0.0,245.0,-3.8,1.5,-20.16
2022-01-01 01:45:00,0.0,0.0,244.5,-3.7,1.25,-20.16
2022-01-01 02:00:00,0.0,0.0,244.0,-3.6,1.0,-20.16
2022-01-01 02:15:00,0.0,0.0,246.25,-3.725,0.975,-20.16
2022-01-01 02:30:00,0.0,0.0,248.5,-3.8499999999999996,0.95,-20.16
2022-01-01 02:45:00,0.0,0.0,250.75,-3.9749999999999996,0.925,-20.16
2022-01-01 03:00:00,0.0,0.0,253.0,-4.1,0.9,-20.16
2022-01-01 03:15:00,0.0,0.0,248.0,-4.2749999999999995,0.9,-20.16
2022-01-01 03:30:00,0.0,0.0,243.0,-4.449999999999999,0.9,-20.16
2022-01-01 03:45:00,0.0,0.0,238.0,-4.625,0.9,-20.16
2022-01-01 04:00:00,0.0,0.0,233.0,-4.8,0.9,-20.16
2022-01-01 04:15:00,0.0,0.0,238.25,-4.95,0.85,-20.16
2022-01-01 04:30:00,0.0,0.0,243.5,-5.1,0.8,-20.16
2022-01-01 04:45:00,0.0,0.0,248.75,-5.25,0.75,-20.16
2022-01-01 05:00:00,0.0,0.0,254.0,-5.4,0.7,-20.16
2022-01-01 05:15:00,0.0,0.0,257.0,-4.300000000000001,0.5249999999999999,-20.16
2022-01-01 05:30:00,0.0,0.0,260.0,-3.2,0.35,-20.16
2022-01-01 05:45:00,0.0,0.0,263.0,-2.1,0.17500000000000004,-20.16
2022-01-01 06:00:00,0.0,0.0,266.0,-1.0,0.0,-20.16
2022-01-01 06:15:00,0.0,0.0,270.25,-1.0,0.0,-20.16
2022-01-01 06:30:00,0.0,0.0,274.5,-1.0,0.0,-20.16
2022-01-01 06:45:00,0.0,0.0,278.75,-1.0,0.0,-20.16
2022-01-01 07:00:00,0.0,0.0,283.0,-1.0,0.0,-20.16
2022-01-01 07:15:00,6.75,18.25,283.5,-1.0,0.525,-20.16
2022-01-01 07:30:00,13.5,36.5,284.0,-1.0,1.05,-20.16
2022-01-01 07:45:00,20.25,54.75,284.5,-1.0,1.5750000000000002,-20.16
2022-01-01 08:00:00,27.0,73.0,285.0,-1.0,2.1,-20.16
2022-01-01 08:15:00,36.0,82.0,285.25,-1.0,1.9500000000000002,-20.16
2022-01-01 08:30:00,45.0,91.0,285.5,-1.0,1.8,-20.16
2022-01-01 08:45:00,54.0,100.0,285.75,-1.0,1.65,30389.062331536144
2022-01-01 09:00:00,63.0,109.0,286.0,-1.0,1.5,25877.938101187043
2022-01-01 09:15:00,68.25,99.0,286.75,-0.75,1.775,22895.89842601052
2022-01-01 09:30:00,73.5,89.0,287.5,-0.5,2.05,21314.206987750276
2022-01-01 09:45:00,78.75,79.0,288.25,-0.25,2.325,20200.953909615986
2022-01-01 10:00:00,84.0,69.0,289.0,0.0,2.6,19275.906138111586
2022-01-01 10:15:00,89.75,75.25,290.5,0.0,2.6,19764.816559138733
2022-01-01 10:30:00,95.5,81.5,292.0,0.0,2.6,20281.402881083442
2022-01-01 10:45:00,101.25,87.75,293.5,0.0,2.6,20819.312852327963
2022-01-01 11:00:00,107.0,94.0,295.0,0.0,2.6,21373.43184709105
2022-01-01 11:15:00,115.5,122.0,294.75,0.0,2.6,23523.75525361308
2022-01-01 11:30:00,124.0,150.0,294.5,0.0,2.6,25663.763161803334
2022-01-01 11:45:00,132.5,178.0,294.25,0.0,2.6,27789.290252129205
2022-01-01 12:00:00,141.0,206.0,294.0,0.0,2.6,29895.489041657725
2022-01-01 12:15:00,136.5,209.5,291.25,0.0,2.6,29978.78638065522
2022-01-01 12:30:00,132.0,213.0,288.5,0.0,2.6,30058.005231472747
2022-01-01 12:45:00,127.5,216.5,285.75,0.0,2.6,30131.640066040534
2022-01-01 13:00:00,123.0,220.0,283.0,0.0,2.6,30198.31684329264
2022-01-01 13:15:00,108.0,197.25,287.0,0.0,2.725,28735.22403312073
2022-01-01 13:30:00,93.0,174.5,291.0,0.0,2.85,27248.942063392635
2022-01-01 13:45:00,78.0,151.75,295.0,0.0,2.975,25744.917802668464
2022-01-01 14:00:00,63.0,129.0,299.0,0.0,3.1,24228.462317967736
2022-01-01 14:15:00,53.0,110.25,297.25,0.0,2.85,22671.121880350915
2022-01-01 14:30:00,43.0,91.5,295.5,0.0,2.6,21129.383843911528
2022-01-01 14:45:00,33.0,72.75,293.75,0.0,2.35,19601.05856417782
2022-01-01 15:00:00,23.0,54.0,292.0,0.0,2.1,18076.270885062524
2022-01-01 15:15:00,18.0,40.5,294.0,0.0,2.225,17195.356057689263
2022-01-01 15:30:00,13.0,27.0,296.0,0.0,2.35,16286.698631332541
2022-01-01 15:45:00,8.0,13.5,298.0,0.0,2.475,15332.071686218522
2022-01-01 16:00:00,3.0,0.0,300.0,0.0,2.6,14342.730936160973
2022-01-01 16:15:00,2.25,0.0,297.25,0.0,2.6,14838.10965705306
2022-01-01 16:30:00,1.5,0.0,294.5,0.0,2.6,-20.16
2022-01-01 16:45:00,0.75,0.0,291.75,0.0,2.6,-20.16
2022-01-01 17:00:00,0.0,0.0,289.0,0.0,2.6,-20.16
2022-01-01 17:15:00,0.0,0.0,291.25,0.0,2.725,-20.16
2022-01-01 17:30:00,0.0,0.0,293.5,0.0,2.85,-20.16
2022-01-01 17:45:00,0.0,0.0,295.75,0.0,2.975,-20.16
2022-01-01 18:00:00,0.0,0.0,298.0,0.0,3.1,-20.16
2022-01-01 18:15:00,0.0,0.0,292.75,0.0,3.1,-20.16
2022-01-01 18:30:00,0.0,0.0,287.5,0.0,3.1,-20.16
2022-01-01 18:45:00,0.0,0.0,282.25,0.0,3.1,-20.16
2022-01-01 19:00:00,0.0,0.0,277.0,0.0,3.1,-20.16
2022-01-01 19:15:00,0.0,0.0,280.0,0.0,3.225,-20.16
2022-01-01 19:30:00,0.0,0.0,283.0,0.0,3.35,-20.16
2022-01-01 19:45:00,0.0,0.0,286.0,0.0,3.475,-20.16
2022-01-01 20:00:00,0.0,0.0,289.0,0.0,3.6,-20.16
