,hp,chp,boiler,pv,supply_config,hr_mode,T_dhw_sp,hwt_volume,costs,co2
0,Air_30kW,150000.0,0.0,75000,2-runner,off,55,20000,3221734.0,241.9
1,Air_30kW,50000.0,200000.0,25000,2-runner,on,65,15000,3002382.0,278.6
2,Air_40kW,150000.0,400000.0,75000,3-runner,off,55,10000,3709008.0,233.5
3,Air_30kW,0.0,400000.0,25000,3-runner,off,55,20000,3337194.0,221.2
4,Air_40kW,0.0,400000.0,75000,2-runner,on,55,20000,3010323.0,192.8
5,Air_40kW,150000.0,0.0,25000,3-runner,on,55,20000,3566480.0,213.0
6,Air_40kW,0.0,200000.0,75000,3-runner,off,65,20000,3370298.0,201.3
7,Air_30kW,0.0,200000.0,75000,3-runner,on,55,10000,3362573.0,203.6
8,Air_40kW,0.0,200000.0,25000,2-runner,off,55,10000,2904762.0,201.7
9,Air_40kW,150000.0,400000.0,25000,2-runner,off,65,20000,3244913.0,497.5
10,Air_30kW,150000.0,400000.0,75000,3-runner,on,65,20000,3721017.0,517.3
11,Air_30kW,150000.0,0.0,25000,3-runner,off,60,10000,3557254.0,311.1
12,Air_40kW,150000.0,0.0,75000,2-runner,on,60,10000,3244688.0,432.1
13,Air_30kW,150000.0,400000.0,75000,2-runner,off,65,10000,3303775.0,505.5
14,Air_40kW,150000.0,400000.0,25000,3-runner,on,65,10000,3662589.0,507.7
15,Air_30kW,0.0,400000.0,50000,3-runner,off,65,10000,3370388.0,217.8
16,Air_30kW,150000.0,400000.0,25000,2-runner,off,55,15000,3236239.0,240.8
17,Air_30kW,0.0,400000.0,75000,2-runner,off,60,20000,3002860.0,213.6
18,Air_40kW,0.0,400000.0,25000,3-runner,on,60,20000,3344403.0,192.6
19,Air_40kW,0.0,300000.0,75000,2-runner,off,65,10000,2990761.0,199.9
20,Air_30kW,150000.0,0.0,75000,3-runner,on,65,10000,3640849.0,511.3
21,Air_30kW,150000.0,0.0,75000,3-runner,on,55,20000,3624351.0,219.1
22,Air_30kW,150000.0,0.0,75000,3-runner,off,65,20000,3623282.0,516.5
23,Air_30kW,150000.0,400000.0,25000,3-runner,on,55,10000,3638868.0,218.0
24,Air_30kW,150000.0,400000.0,25000,3-runner,off,65,20000,3637949.0,518.7
25,Air_30kW,150000.0,400000.0,75000,2-runner,on,55,10000,3304031.0,206.9
26,Air_30kW,150000.0,400000.0,75000,3-runner,off,55,20000,3701667.0,242.1
27,Air_40kW,0.0,200000.0,75000,3-runner,on,65,10000,3370061.0,194.9
28,Air_40kW,150000.0,0.0,25000,2-runner,off,65,10000,3164862.0,490.4
29,Air_40kW,150000.0,0.0,25000,2-runner,off,55,20000,3163588.0,234.1
30,Air_40kW,150000.0,0.0,25000,3-runner,off,65,20000,3564697.0,509.6
31,Air_40kW,150000.0,0.0,75000,2-runner,off,65,20000,3230365.0,496.9
32,Air_40kW,150000.0,0.0,75000,3-runner,on,65,20000,3648522.0,509.4
33,Air_40kW,150000.0,0.0,75000,3-runner,off,55,20000,3628991.0,236.2
