,ghi,dni,dhi,temp_air,wind_speed,Power[w]
2022-01-01 00:00:00+01:00,0.0,-0.0,0.0,2.1,2.5,-0.075
2022-01-01 00:15:00+01:00,0.0,0.0,0.0,1.75,2.55,-0.075
2022-01-01 00:30:00+01:00,0.0,0.0,0.0,1.4,2.6,-0.075
2022-01-01 00:45:00+01:00,0.0,0.0,0.0,1.05,2.6500000000000004,-0.075
2022-01-01 01:00:00+01:00,0.0,-0.0,0.0,0.7,2.7,-0.075
2022-01-01 01:15:00+01:00,0.0,0.0,0.0,0.825,2.5500000000000003,-0.075
2022-01-01 01:30:00+01:00,0.0,0.0,0.0,0.95,2.4000000000000004,-0.075
2022-01-01 01:45:00+01:00,0.0,0.0,0.0,1.075,2.25,-0.075
2022-01-01 02:00:00+01:00,0.0,-0.0,0.0,1.2,2.1,-0.075
2022-01-01 02:15:00+01:00,0.0,0.0,0.0,0.95,2.2,-0.075
2022-01-01 02:30:00+01:00,0.0,0.0,0.0,0.7,2.3,-0.075
2022-01-01 02:45:00+01:00,0.0,0.0,0.0,0.4499999999999999,2.4,-0.075
2022-01-01 03:00:00+01:00,0.0,-0.0,0.0,0.2,2.5,-0.075
2022-01-01 03:15:00+01:00,0.0,0.0,0.0,0.25,2.325,-0.075
2022-01-01 03:30:00+01:00,0.0,0.0,0.0,0.3,2.15,-0.075
2022-01-01 03:45:00+01:00,0.0,0.0,0.0,0.35,1.975,-0.075
2022-01-01 04:00:00+01:00,0.0,-0.0,0.0,0.4,1.8,-0.075
2022-01-01 04:15:00+01:00,0.0,0.0,0.0,0.275,1.8,-0.075
2022-01-01 04:30:00+01:00,0.0,0.0,0.0,0.15,1.8,-0.075
2022-01-01 04:45:00+01:00,0.0,0.0,0.0,0.025,1.8,-0.075
2022-01-01 05:00:00+01:00,0.0,-0.0,0.0,-0.1,1.8,-0.075
2022-01-01 05:15:00+01:00,0.0,0.0,0.0,-0.3,1.625,-0.075
2022-01-01 05:30:00+01:00,0.0,0.0,0.0,-0.5,1.4500000000000002,-0.075
2022-01-01 05:45:00+01:00,0.0,0.0,0.0,-0.7000000000000001,1.275,-0.075
2022-01-01 06:00:00+01:00,0.0,-0.0,0.0,-0.9,1.1,-0.075
2022-01-01 06:15:00+01:00,0.0,0.0,0.0,-0.85,1.3,-0.075
2022-01-01 06:30:00+01:00,0.0,0.0,0.0,-0.8,1.5,-0.075
2022-01-01 06:45:00+01:00,0.0,0.0,0.0,-0.75,1.7,-0.075
